Date,Generation
2020-01-01,16579.636
2020-02-01,17354.353
2020-03-01,19911.17716
2020-04-01,17527.008
2020-05-01,20231.71
2020-06-01,21346.76394
2020-07-01,22205.15
2020-08-01,20900.62398689
2020-09-01,20710.37001311
2020-10-01,19678.07
2020-11-01,18932.688
2020-12-01,19112.934
2021-01-01,19171.1639226
2021-02-01,15119.219
2021-03-01,21309.07
2021-04-01,21229.0440612
2021-05-01,22924.53738182
2021-06-01,22930.38554
2021-07-01,22289.2841107
2021-08-01,20830.8189
2021-09-01,18495.5965
2021-10-01,19902.122
2021-11-01,19968.1324
2021-12-01,20607.477
2022-01-01,20017.397352
2022-02-01,17751.136
2022-03-01,22448.705
2022-04-01,22066.0
2022-05-01,23113.0666
2022-06-01,23782.0518
2022-07-01,23744.188
2022-08-01,23328.6495043
2022-09-01,21598.01102446
2022-10-01,20972.99123879
2022-11-01,20504.23
2022-12-01,20648.624
2023-01-01,17400.0
2023-02-01,19199.61841443
2023-03-01,22232.91288156
2023-04-01,22574.232
2023-05-01,23868.86561155
2023-06-01,22983.302
2023-07-01,24683.88061302
2023-08-01,24636.07857308
2023-09-01,22421.3398983
2023-10-01,22730.29303224
2023-11-01,21922.77339536
2023-12-01,22022.56115632
2024-01-01,22710.05945921
2024-02-01,18710.8394004
2024-03-01,24323.22537918
2024-04-01,24716.22589002
