Year,Month,Population,Sunshine (Hours),Rainfall (mm),Temperature (C),Humidity (%),Electricity Generation (GWh)
2022,1,99474420.0,134.79999999999998,52.72666666666667,20.613333333333333,82.66666666666667,20017.397352
2022,2,99547239.17,103.69333333333334,75.89285714285714,19.42,81.93333333333334,17751.136
2022,3,99620058.33,149.76666666666668,95.56,23.75333333333333,82.8,22448.705
2022,4,99692877.5,175.06666666666666,163.0,24.53333333333333,80.0,22066.0
2022,5,99765696.67,148.24666666666664,273.0266666666667,26.046666666666667,81.8,23113.0666
2022,6,99838515.83,204.78,185.78571428571428,28.09333333333333,78.93333333333334,23782.0518
2022,7,99911335.0,201.12,234.96666666666667,27.84,80.86666666666666,23744.188
2022,8,99984154.17,184.36,303.68666666666667,27.226666666666667,82.33333333333333,23328.6495043
2022,9,100056973.33,150.54666666666668,412.23333333333335,26.49333333333333,83.26666666666667,21598.01102446
2022,10,100129792.5,153.02666666666667,373.9266666666666,24.586666666666662,80.0,20972.99123879
2022,11,100202611.67,156.14,179.47333333333333,24.4,82.33333333333333,20504.23
2022,12,100275430.83,108.17333333333336,148.56,19.71333333333333,77.26666666666667,20648.624
