Year,Month,Rainfall
2020.0,4,116.97142857142858
2020.0,5,103.46000000000001
2020.0,6,140.23333333333332
2020.0,7,145.84
2020.0,8,310.6333333333333
2020.0,9,283.4
2020.0,10,612.2733333333333
2020.0,11,190.72
2020.0,12,90.18571428571428
2021.0,1,25.984615384615385
2021.0,2,46.975
2021.0,3,31.792307692307695
2021.0,4,123.65333333333334
2021.0,5,134.86666666666667
2021.0,6,171.10666666666665
2021.0,7,222.16
2021.0,8,216.47333333333333
2021.0,9,374.25333333333333
2021.0,10,450.58
2021.0,11,268.26666666666665
2021.0,12,109.2
2022.0,1,52.72666666666667
2022.0,2,75.89285714285714
2022.0,3,95.56
2022.0,4,163.0
2022.0,5,273.0266666666667
2022.0,6,185.78571428571428
2022.0,7,234.96666666666667
2022.0,8,303.68666666666667
2022.0,9,412.23333333333335
2022.0,10,373.9266666666666
2022.0,11,179.47333333333333
2022.0,12,148.56
