Year,Month,Temperature
2017.0,4,25.073333333333334
2017.0,5,26.773333333333333
2017.0,6,28.053333333333335
2017.0,7,27.006666666666668
2017.0,8,27.36
2017.0,9,27.253333333333334
2017.0,10,24.913333333333334
2017.0,11,22.82
2017.0,12,19.9
2018.0,1,20.166666666666668
2018.0,2,19.58
2018.0,3,22.933333333333334
2018.0,4,24.646666666666665
2018.0,5,27.459999999999997
2018.0,6,27.7
2018.0,7,27.459999999999997
2018.0,8,27.233333333333334
2018.0,9,26.753333333333334
2018.0,10,25.1
2018.0,11,23.733333333333334
2018.0,12,21.68
2019.0,1,20.233333333333334
2019.0,2,23.046666666666667
2019.0,3,24.053333333333335
2019.0,4,27.006666666666668
2019.0,5,27.68
2019.0,6,28.946666666666665
2019.0,7,28.279999999999998
2019.0,8,27.71333333333333
2019.0,9,26.533333333333335
2019.0,10,25.386666666666667
2019.0,11,23.153333333333332
2019.0,12,20.513333333333332
2020.0,1,21.533333333333335
2020.0,2,21.553333333333335
2020.0,3,24.553333333333335
2020.0,4,24.38
2020.0,5,28.40666666666667
2020.0,6,28.826666666666664
2020.0,7,28.413333333333334
2020.0,8,27.613333333333333
2020.0,9,27.413333333333334
2020.0,10,24.533333333333335
2020.0,11,23.59333333333333
2020.0,12,20.433333333333334
2021.0,1,18.486666666666668
2021.0,2,21.12
2021.0,3,23.653333333333332
2021.0,4,25.68
2021.0,5,27.959999999999997
2021.0,6,28.553333333333335
2021.0,7,28.026666666666664
2021.0,8,28.09333333333333
2021.0,9,26.473333333333336
2021.0,10,24.506666666666668
2021.0,11,22.71333333333333
2021.0,12,20.326666666666664
2022.0,1,20.613333333333333
2022.0,2,19.42
2022.0,3,23.753333333333334
2022.0,4,24.533333333333335
2022.0,5,26.046666666666667
2022.0,6,28.09333333333333
2022.0,7,27.84
2022.0,8,27.226666666666667
2022.0,9,26.493333333333332
2022.0,10,24.586666666666666
2022.0,11,24.4
2022.0,12,19.71333333333333
