Year,Month,Humidity
2002.0,1,81.13333333333334
2002.0,2,81.73333333333333
2002.0,3,80.86666666666666
2002.0,4,79.6
2002.0,5,80.4
2002.0,6,82.06666666666666
2002.0,7,80.66666666666667
2002.0,8,83.93333333333334
2002.0,9,83.93333333333334
2002.0,10,84.06666666666666
2002.0,11,84.53333333333333
2002.0,12,84.93333333333334
2003.0,1,80.8
2003.0,2,82.13333333333334
2003.0,3,80.0
2003.0,4,79.73333333333333
2003.0,5,81.8
2003.0,6,79.4
2003.0,7,80.73333333333333
2003.0,8,83.0
2003.0,9,84.2
2003.0,10,82.93333333333334
2003.0,11,80.53333333333333
2003.0,12,79.06666666666666
2004.0,1,81.86666666666666
2004.0,2,81.4
2004.0,3,81.93333333333334
2004.0,4,83.33333333333333
2004.0,5,81.2
2004.0,6,80.2
2004.0,7,82.4
2004.0,8,83.26666666666667
2004.0,9,83.46666666666667
2004.0,10,79.66666666666667
2004.0,11,81.93333333333334
2004.0,12,80.0
2005.0,1,80.8
2005.0,2,82.26666666666667
2005.0,3,81.6
2005.0,4,81.2
2005.0,5,78.6
2005.0,6,79.0
2005.0,7,81.46666666666667
2005.0,8,83.2
2005.0,9,83.53333333333333
2005.0,10,83.4
2005.0,11,83.73333333333333
2005.0,12,82.13333333333334
2006.0,1,80.86666666666666
2006.0,2,82.0
2006.0,3,82.26666666666667
2006.0,4,79.8
2006.0,5,79.26666666666667
2006.0,6,79.93333333333334
2006.0,7,80.46666666666667
2006.0,8,84.53333333333333
2006.0,9,81.6
2006.0,10,83.53333333333333
2006.0,11,81.0
2006.0,12,79.13333333333334
2007.0,1,78.8
2007.0,2,79.33333333333333
2007.0,3,82.73333333333333
2007.0,4,80.0
2007.0,5,80.8
2007.0,6,79.86666666666666
2007.0,7,80.93333333333334
2007.0,8,82.93333333333334
2007.0,9,83.6
2007.0,10,84.46666666666667
2007.0,11,80.46666666666667
2007.0,12,82.33333333333333
2008.0,1,82.2
2008.0,2,79.26666666666667
2008.0,3,81.6
2008.0,4,81.73333333333333
2008.0,5,81.8
2008.0,6,82.2
2008.0,7,81.06666666666666
2008.0,8,83.06666666666666
2008.0,9,84.13333333333334
2008.0,10,85.53333333333333
2008.0,11,82.93333333333334
2008.0,12,81.66666666666667
2009.0,1,78.33333333333333
2009.0,2,81.53333333333333
2009.0,3,80.33333333333333
2009.0,4,82.26666666666667
2009.0,5,83.4
2009.0,6,78.6
2009.0,7,81.46666666666667
2009.0,8,81.73333333333333
2009.0,9,83.86666666666666
2009.0,10,83.06666666666666
2009.0,11,78.66666666666667
2009.0,12,80.46666666666667
2010.0,1,81.46666666666667
2010.0,2,80.2
2010.0,3,78.0
2010.0,4,82.53333333333333
2010.0,5,81.33333333333333
2010.0,6,80.4
2010.0,7,82.2
2010.0,8,85.0
2010.0,9,85.13333333333334
2010.0,10,82.6
2010.0,11,80.73333333333333
2010.0,12,81.13333333333334
2011.0,1,80.06666666666666
2011.0,2,82.46666666666667
2011.0,3,80.93333333333334
2011.0,4,80.46666666666667
2011.0,5,80.0
2011.0,6,80.33333333333333
2011.0,7,80.2
2011.0,8,81.26666666666667
2011.0,9,83.86666666666666
2011.0,10,83.46666666666667
2011.0,11,81.93333333333334
2011.0,12,78.33333333333333
2012.0,1,84.26666666666667
2012.0,2,83.0
2012.0,3,80.6
2012.0,4,79.8
2012.0,5,79.53333333333333
2012.0,6,78.13333333333334
2012.0,7,80.26666666666667
2012.0,8,79.73333333333333
2012.0,9,83.73333333333333
2012.0,10,80.73333333333333
2012.0,11,83.33333333333333
2012.0,12,80.93333333333334
2013.0,1,82.2
2013.0,2,82.06666666666666
2013.0,3,79.4
2013.0,4,81.33333333333333
2013.0,5,79.93333333333334
2013.0,6,79.33333333333333
2013.0,7,83.73333333333333
2013.0,8,82.4
2013.0,9,84.93333333333334
2013.0,10,81.26666666666667
2013.0,11,82.0
2013.0,12,77.46666666666667
2014.0,1,77.06666666666666
2014.0,2,80.13333333333334
2014.0,3,82.26666666666667
2014.0,4,82.66666666666667
2014.0,5,78.46666666666667
2014.0,6,79.8
2014.0,7,81.66666666666667
2014.0,8,81.73333333333333
2014.0,9,82.0
2014.0,10,81.6
2014.0,11,83.13333333333334
2014.0,12,80.06666666666666
2015.0,1,79.4
2015.0,2,80.86666666666666
2015.0,3,81.66666666666667
2015.0,4,78.6
2015.0,5,76.93333333333334
2015.0,6,78.26666666666667
2015.0,7,78.8
2015.0,8,81.46666666666667
2015.0,9,83.53333333333333
2015.0,10,81.33333333333333
