Year,Month,Population
2022,3,99620058.33
2022,4,99692877.5
2022,5,99765696.67
2022,6,99838515.83
2022,7,99911335.0
2022,8,99984154.17
2022,9,100056973.33
2022,10,100129792.5
2022,11,100202611.67
2022,12,100275430.83
