Năm,Tháng,Sản lượng
2020,12,19112.934
2021,1,19171.1639226
2021,2,15119.219
2021,3,21309.07
2021,4,21229.0440612
2021,5,22924.53738182
2021,6,22930.38554
2021,7,22289.2841107
2021,8,20830.8189
2021,9,18495.5965
2021,10,19902.122
2021,11,19968.1324
2021,12,20607.477
2022,1,20017.397352
2022,2,17751.136
2022,3,22448.705
2022,4,22066.0
2022,5,23113.0666
2022,6,23782.0518
2022,7,23744.188
2022,8,23328.6495043
2022,9,21598.01102446
2022,10,20972.99123879
2022,11,20504.23
2022,12,20648.624
2023,1,17400.0
2023,2,19199.61841443
2023,3,22232.91288156
2023,4,22574.232
2023,5,23868.86561155
2023,6,22983.302
2023,7,24683.88061302
2023,8,24636.07857308
2023,9,22421.3398983
2023,10,22730.29303224
2023,11,21922.77339536
2023,12,22022.56115632
2024,1,22710.05945921
2024,2,18710.8394004
2024,3,24323.22537918
2024,4,24716.22589002
