Date,Average Sunshine
2011-09-01,128.22666666666666
2011-10-01,129.72666666666666
2011-11-01,147.70666666666665
2011-12-01,90.15333333333334
2012-01-01,86.92666666666668
2012-02-01,127.45333333333336
2012-03-01,142.85333333333338
2012-04-01,198.81333333333333
2012-05-01,203.14
2012-06-01,151.45333333333335
2012-07-01,183.68
2012-08-01,198.4
2012-09-01,141.82666666666668
2012-10-01,169.70666666666668
2012-11-01,156.32666666666668
2012-12-01,139.11333333333332
2013-01-01,113.24666666666668
2013-02-01,144.17999999999998
2013-03-01,186.1733333333333
2013-04-01,160.17333333333332
2013-05-01,219.35333333333332
2013-06-01,179.93333333333334
2013-07-01,159.26666666666668
2013-08-01,162.82666666666668
2013-09-01,125.56
2013-10-01,150.20666666666665
2013-11-01,117.85333333333332
2013-12-01,140.39333333333332
2014-01-01,164.96666666666664
2014-02-01,153.28666666666666
2014-03-01,162.94
2014-04-01,165.42
2014-05-01,235.2466666666666
2014-06-01,162.3733333333333
2014-07-01,172.76666666666668
2014-08-01,178.61333333333334
2014-09-01,186.81333333333333
2014-10-01,168.02666666666667
2014-11-01,151.85333333333335
2014-12-01,99.22666666666666
2015-01-01,170.23333333333332
2015-02-01,152.05333333333334
2015-03-01,172.19333333333333
2015-04-01,202.92666666666668
2015-05-01,246.78666666666663
2015-06-01,210.0533333333333
2015-07-01,153.32666666666668
2015-08-01,211.02666666666664
2015-09-01,174.94
2015-10-01,188.70666666666668
2015-11-01,161.70666666666665
2015-12-01,130.56666666666666
2016-01-01,140.62
2016-02-01,148.79333333333335
2016-03-01,157.78666666666666
2016-04-01,194.46
2016-05-01,201.58
2016-06-01,213.07333333333335
2016-07-01,213.56666666666663
2016-08-01,177.14666666666665
2016-09-01,158.91333333333336
2016-10-01,147.78
2016-11-01,142.65333333333334
2016-12-01,104.07333333333334
2017-01-01,110.16666666666669
2017-02-01,136.66666666666666
2017-03-01,162.52666666666667
2017-04-01,177.11333333333334
2017-05-01,193.40000000000003
2017-06-01,192.26
2017-07-01,149.02
2017-08-01,176.02000000000004
2017-09-01,184.58666666666667
2017-10-01,122.23333333333332
2017-11-01,107.40666666666668
2017-12-01,110.35333333333332
2018-01-01,96.85333333333332
2018-02-01,136.45333333333332
2018-03-01,177.55999999999997
2018-04-01,185.92
2018-05-01,235.44
2018-06-01,154.13333333333335
2018-07-01,153.7466666666667
2018-08-01,144.79333333333332
2018-09-01,181.60666666666663
2018-10-01,188.22
2018-11-01,166.32666666666668
2018-12-01,118.64
2019-01-01,122.03333333333332
2019-02-01,188.80666666666667
2019-03-01,172.91333333333333
2019-04-01,210.4933333333333
2019-05-01,202.5333333333333
2019-06-01,206.30000000000004
2019-07-01,178.58
2019-08-01,175.2
2019-09-01,170.4466666666667
2019-10-01,184.28
2019-11-01,147.08666666666667
2019-12-01,171.72666666666663
2020-01-01,164.38000000000002
2020-02-01,158.94666666666666
2020-03-01,182.02
2020-04-01,155.4
2020-05-01,241.98666666666665
2020-06-01,218.48666666666668
2020-07-01,230.69333333333333
2020-08-01,175.18
2020-09-01,173.83333333333334
2020-10-01,105.20666666666668
2020-11-01,138.62
2020-12-01,97.34666666666666
2021-01-01,119.76666666666668
2021-02-01,166.39333333333337
2021-03-01,169.8733333333333
2021-04-01,174.08
2021-05-01,242.68666666666667
2021-06-01,203.52000000000004
2021-07-01,199.94666666666663
2021-08-01,209.34000000000003
2021-09-01,163.38000000000002
2021-10-01,114.09333333333332
2021-11-01,102.63333333333334
2021-12-01,128.60666666666663
